Product Name,Model Name,Quantity,Column 1,Total Price,Links
PCB,,2,,$14.00,
MCU,Supermini nRF52840,2,,$9.00,https://ja.aliexpress.com/item/1005006035267231.html
Switches,Choc V1,37,,$20.00,https://ja.aliexpress.com/item/1005008943998118.html
Diodes,1N4148W(SOD123 Package),37,,$1.00,https://ja.aliexpress.com/item/1005008841989543.html
Keycaps,Choc V1 compatible,37,,$15.00,https://ja.aliexpress.com/item/1005009410193865.html
Reset Button,B3U-1000P,2,,$5.00,https://ja.aliexpress.com/item/1005007149637345.html
Power Switch,MSK12C02,2,,$3.00,https://ja.aliexpress.com/item/1005006710234187.html
Battery,301230 Lipo Battery,2,,$10.00,https://ja.aliexpress.com/item/1005008947414547.html
JST connector ,JST PH2.0 2 Pin terminal Female socket BENT PIN SOCKET,2,,$3.00,https://ja.aliexpress.com/item/1005007441813591.html
LED,SK6812mini-e,2,,$2.00,https://ja.aliexpress.com/item/1005008308801366.html
Sockets,Kalih choc v1,37,,$5.00,https://ja.aliexpress.com/item/1005008928238101.html
Rubber feet,,,,$4.00,https://ja.aliexpress.com/item/1005006455782191.html
Threaded screw inserts,M2x3x3.2,34,,$3.00,https://ja.aliexpress.com/item/1005008318533389.html
M2 laptop-style flathead screws,M2x3,34,,$2.00,https://ja.aliexpress.com/item/1005008504707668.html
Rotary Encoder,EC11,1,,$3.00,https://ja.aliexpress.com/item/1005009120433387.html
,,,,,
Total Price,,,,$99.00,
,,,,,
Other stuff needed,,,,,
3D printed case,,,,,
