Product Name,Model Name,Quantity,Column 1,Total Price
PCB,,2,,$9.30
MCU,Supermini nRF52840,2,,$8.00
Switches,Choc V1,36,,$25.00
Diodes,1N4148W(SOD123 Package),36,,$0.40
Keycaps,,36,,$30.00
Reset Button,Panasonic EVQ-PU[A|C|J|L]02K,2,,$2.00
Power Switch,SSSS811101,2,,$1.50
Battery,301230 Lipo Battery,2,,$10.00
LED,SK6812mini-e,4,,$5.00
Sockets,Kalih choc v1,36,,$5.00
Rubber feet,,8,,$4.00
Threaded screw inserts,M2x3x3.2,10,,$2.50
M2 laptop-style flathead screws,M2x3,10,,$1.50
Total Price,,,,$104.20
,,,,
Other stuff needed,,,,
3D printed case,,,,
